Time [s], Analyzer Name, Decoded Protocol Result
2.801077000000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.807076687500000,HD44780,Write Command '1' (Clear Display)
2.814076500000000,HD44780,Write Command '2' (Return Home)
2.820076312500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.893073750000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.903073250000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.909073000000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.915072812500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
2.921072375000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.927072062500000,HD44780,Write Command '1' (Clear Display)
2.934071812500000,HD44780,Write Command '2' (Return Home)
2.940071687500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.013069125000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.023068625000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.029068375000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.035068125000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.041067750000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.047067437500000,HD44780,Write Command '1' (Clear Display)
3.054067187500000,HD44780,Write Command '2' (Return Home)
3.060067062500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.133064500000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.143064000000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.149063750000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.155063500000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.161063125000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.167062812500000,HD44780,Write Command '1' (Clear Display)
3.174062562500000,HD44780,Write Command '2' (Return Home)
3.180062375000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.253059875000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.263059375000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.269059062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.275058875000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.281058437500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.287058125000000,HD44780,Write Command '1' (Clear Display)
3.294057875000000,HD44780,Write Command '2' (Return Home)
3.300057750000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.373055187500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.383054687500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.389054437500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.395054187500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.401053812500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.407053500000000,HD44780,Write Command '1' (Clear Display)
3.414053250000000,HD44780,Write Command '2' (Return Home)
3.420053125000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.493050562500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.503050062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.509049812500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.515049562500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.521049187500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.527048875000000,HD44780,Write Command '1' (Clear Display)
3.534048625000000,HD44780,Write Command '2' (Return Home)
3.540048500000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.613045937500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.623045437500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.629045125000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.635044937500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.641044562500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.647044187500000,HD44780,Write Command '1' (Clear Display)
3.654044000000000,HD44780,Write Command '2' (Return Home)
3.660043812500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.733041250000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.743040812500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.749040500000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.755040312500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.761039875000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.767039562500000,HD44780,Write Command '1' (Clear Display)
3.774039312500000,HD44780,Write Command '2' (Return Home)
3.780039187500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.853036625000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.863036125000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.869035875000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.875035625000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
3.881035250000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
3.887034937500000,HD44780,Write Command '1' (Clear Display)
3.894034687500000,HD44780,Write Command '2' (Return Home)
3.900034562500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
3.973032000000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.983031500000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.989031250000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
3.995031000000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.001030625000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.007030312500000,HD44780,Write Command '1' (Clear Display)
4.014030062500000,HD44780,Write Command '2' (Return Home)
4.020029875000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.093027375000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.103026875000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.109026562500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.115026375000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.121025937500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.127025625000000,HD44780,Write Command '1' (Clear Display)
4.134025375000000,HD44780,Write Command '2' (Return Home)
4.140025250000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.213022687500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.223022187500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.229021937500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.235021687500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.241021312500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.247021000000000,HD44780,Write Command '1' (Clear Display)
4.254020750000000,HD44780,Write Command '2' (Return Home)
4.260020625000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.333018062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.343017562500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.349017312500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.355017062500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.361016687500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.367016375000000,HD44780,Write Command '1' (Clear Display)
4.374016125000000,HD44780,Write Command '2' (Return Home)
4.380015937500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.453013437500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.463012937500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.469012625000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.475012437500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
